NombreUnidad,direccion,entidad,municipio,telefono,correoelec,sitioweb,Latitude,Longitude,Sector,Inst,POBUSn,POBUSa,POBUSd,,SumaCluster,NivCuidad,ConDer,comollegar
JARDIN DE NIÑOS NO 248 NIÑOS HEROES,"Calle Yolanda Castilleros 17, Int: NA, Colonia Talpita, C.P. 49800 Tuxpan, Jalisco",Jalisco,Tuxpan,Tel. NA,,,19.56490912,-103.3727702,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=19.56490912,-103.3727702&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
GUARDERIA DE BOLITA,"Calle Juan Acevedo 182, Int: NA, Colonia Independencia, C.P. 48327 Puerto Vallarta, Jalisco",Jalisco,Puerto Vallarta,Tel. NA,guarderiadebolita@gmail.com,,20.63966573,-105.2109852,Sociedad civil,Sociedad civil,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.63966573,-105.2109852&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ESCUELA PRIMARIA URBANA 49 LUCIO BLANCO,"Calle Cuitlahuac 261, Int: NA, Colonia Analco, C.P. 44450 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. 3336194345,,,20.66632658,-103.3434449,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.66632658,-103.3434449&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
JARDIN DE NIÑOS CORABAI,"Avenida Patria 2105, Int: NA, Colonia Lagos Del Country, C.P. 44210 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. 3331262259,bea_sanboj@hotmail.com,,20.7121642,-103.3625091,Privada,Privada,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.7121642,-103.3625091&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
PRIMARIA JOSE CLEMENTE OROZCO,"Privada Federico Alatorre 3016, Int: NA, Colonia Echeverria, C.P. 44970 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. NA,,,20.62524028,-103.3645104,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.62524028,-103.3645104&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
JARDIN DE NIÑOS N 229 IRENE ROBLEDO GARCIA,"Avenida Hidalgo 582, Int: NA, Colonia El Vado, C.P. 45930 Chapala, Jalisco",Jalisco,Chapala,Tel. NA,,,20.39673918,-103.1026725,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.39673918,-103.1026725&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ESCUELA PRIMARIA URBANA FEDERAL RAMON CORONA,"Avenida Hidalgo 297, Int: NA, Colonia Centro, C.P. 47910 La Barca, Jalisco",Jalisco,La Barca,Tel. 3939355430,,,20.28375614,-102.547644,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.28375614,-102.547644&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ESCUELA LAZARO CARDENAS DEL RIO,"Avenida Guadalupe 53, Int: NA, Colonia Arenales Tapatios, C.P. 45066 Zapopan, Jalisco",Jalisco,Zapopan,Tel. 3331804019,,,20.63397706,-103.4605782,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.63397706,-103.4605782&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
JARDIN DE NIÑOS JOSE MARIA MORELOS Y PAVON 14DJN1014T TURNO MATUTINO,"Calle Clemente Orozco 13, Int: NA, Colonia El Terrero, C.P. 45681 El Salto, Jalisco",Jalisco,El Salto,Tel. 3315076273,,,20.54485783,-103.2726586,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.54485783,-103.2726586&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
JARDIN DE NIÑOS JOSE VASCONCELOS TURNO MATUTINO,"Calle Independencia 370, Int: NA, Colonia La Peñita, C.P. 47182 Arandas, Jalisco",Jalisco,Arandas,Tel. NA,,,20.70980283,-102.3511298,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.70980283,-102.3511298&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ESCUELA PREESCOLAR IDOLINA GAONA RUIZ,"Calle Pavo 8, Int: NA, Colonia San Luis Soyatlan, C.P. 49440 Tuxcueca, Jalisco",Jalisco,Tuxcueca,Tel. NA,,,20.19997598,-103.3079527,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.19997598,-103.3079527&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
PRIMARIA EMILIANO ZAPATA,"Privada Ninguno 71, Int: NA, Colonia Centro, C.P. 46440 Hostotipaquillo, Jalisco",Jalisco,Hostotipaquillo,Tel. 3867445212,,,21.06263415,-104.0501753,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=21.06263415,-104.0501753&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
PRIMITIVO TOLENTINO 986,"Calle 5 De Mayo 29, Int: NA, Colonia El Briseño, C.P. 45236 Zapopan, Jalisco",Jalisco,Zapopan,Tel. 3336124617,,,20.62588444,-103.4358193,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.62588444,-103.4358193&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
JARDIN DE NIÑOS PABLO NERUDA,"Privada Xochitl NA, Int: NA, Localidad Naranjitos, C.P. 49654 Tamazula de Gordiano, Jalisco",Jalisco,Tamazula de Gordiano,Tel. NA,14djno951h@escuelas.seg.gob.mx,,19.66468734,-103.2518539,Pública,SEP,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=19.66468734,-103.2518539&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
JARDIN DE NIÑOS JANAMOSCOMENIOS,"Calle Amado Nervo 285, Int: NA, Colonia Minerva, C.P. 44650 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. NA,colegiojanamoscomenios@gmail.com,,20.68217829,-103.3747724,Sociedad civil,Sociedad civil,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.68217829,-103.3747724&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
PREESCOLAR JARDIN DE NIÑOS ADÁN URIBE LUNA 14DJN0542D,"Calle Clemente Amaya 159, Int: NA, Colonia Centro, C.P. 48900 Autlán de Navarro, Jalisco",Jalisco,Autlán de Navarro,Tel. NA,adanuribe2011@hotmail.com,,19.77566492,-104.3613495,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=19.77566492,-104.3613495&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
JARDIN DE NIÑOS JOSE GONZALEZ TORRES,"Calle Valle De Las Flores 329, Int: NA, Fraccionamiento Del 4, C.P. 45655 San Pedro Tlaquepaque, Jalisco",Jalisco,San Pedro Tlaquepaque,Tel. NA,,,20.55856231,-103.3413686,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.55856231,-103.3413686&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
PREESCOLAR DECROLY,"Calle Josefa Ortiz De Dominguez 1184, Int: NA, Colonia La Penal, C.P. 44380 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. NA,,,20.67219797,-103.3141652,Privada,Privada,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.67219797,-103.3141652&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CENTRO INFANTIL FROEBEL,"Calle Arista 1273, Int: NA, Colonia Sagrada Familia, C.P. 44200 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. NA,,www.guarderiainfantilfroebel.com,20.68777548,-103.3546141,Privada,Privada,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.68777548,-103.3546141&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
PRIMARIA HERMINIA Y DIONISIA VARGAS TADEO,"Calle Vereda De Los Tulipanes 40, Int: NA, Fraccionamiento Los Sauces, C.P. 45640 Tlajomulco de Zúñiga, Jalisco",Jalisco,Tlajomulco de Zúñiga,Tel. NA,,,20.45486071,-103.2492249,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.45486071,-103.2492249&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
PRIMARIA FRANCISCO JAVIER MINA 14DPR4133R TM JENNY ARACELY LOPEZ SECRETARIA DE EDUCACION PUBLICA,"Circuito Cerro Del Tapi NA, Int: NA, Fraccionamiento Colinas Del Roble, C.P. 45653 Tlajomulco de Zúñiga, Jalisco",Jalisco,Tlajomulco de Zúñiga,Tel. 33352340,,,20.50532555,-103.399625,Pública,SEP,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.50532555,-103.399625&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
PREESCOLAR JUAN DE LA BARRERA,"Calle El Fortin 8, Int: NA, Colonia Villas De La Hacienda, C.P. 45684 Tlajomulco de Zúñiga, Jalisco",Jalisco,Tlajomulco de Zúñiga,Tel. 37975702,,,20.5337304,-103.379149,Privada,Privada,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.5337304,-103.379149&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ESCUELA PRIMARIA URBANA 705,"Calle Joaquin Romero NA, Int: NA, Colonia Huentitan El Alto, C.P. 44390 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. NA,,,20.71957357,-103.2951578,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.71957357,-103.2951578&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ESCUELA PRIMARIA EMILIANO ZAPATA,"Calle Independencia 102, Int: NA, Localidad Vista Hermosa, C.P. 49657 Tamazula de Gordiano, Jalisco",Jalisco,Tamazula de Gordiano,Tel. NA,14dpr2382k.zapata@gmail.com,,19.69520593,-103.339094,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=19.69520593,-103.339094&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
JARDIN DE NIÑOS 508 IGNACIO MANUEL ALTAMIRANO,"Calle Hortensia 884, Int: NA, Colonia Agricola, C.P. 45130 Zapopan, Jalisco",Jalisco,Zapopan,Tel. 3336842466,,,20.61500874,-103.4337925,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.61500874,-103.4337925&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
JARDIN DE NIÑOS MA ISABEL GONZALEZ 14DJN0043H,"Calle Xicotencatl 140, Int: NA, Colonia Centro, C.P. 47910 La Barca, Jalisco",Jalisco,La Barca,Tel. 3939351014,,,20.28239138,-102.5523672,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.28239138,-102.5523672&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
JARDIN DE NIÑOS GABRIELA MISTRAL 14DJN1624U TURNO VESPERTINO,"Calle Mariano Jimenez 37, Int: NA, Colonia El Grullo Centro, C.P. 48740 El Grullo, Jalisco",Jalisco,El Grullo,Tel. NA,,,19.80796187,-104.215635,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=19.80796187,-104.215635&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ESCUELA PRIMARIA JOSE MARIA PINO SUAREZ URBANA 1005,"Calle Federico Del Toro (Eje) 509, Int: NA, Colonia Lazaro Cardenas, C.P. 49000 Zapotlán el Grande, Jalisco",Jalisco,Zapotlán el Grande,Tel. NA,,,19.7147804,-103.4622744,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=19.7147804,-103.4622744&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
JARDIN DE NIÑOS AUSUBEL,"Avenida Puerto Vallarta 277, Int: NA, Colonia Arvento, C.P. 45670 Tlajomulco de Zúñiga, Jalisco",Jalisco,Tlajomulco de Zúñiga,Tel. NA,,,20.44604698,-103.3056604,Privada,Privada,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.44604698,-103.3056604&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ESCUELA PRIMARIA GUSTAVO DIAZ ORDAZ,"Calle Animas 10, Int: NA, Barrio Alto, C.P. 47270 Encarnación de Díaz, Jalisco",Jalisco,Encarnación de Díaz,Tel. 4759536896,,,21.53115792,-102.2370143,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=21.53115792,-102.2370143&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
COLEGIO THOMAS ALVA EDISON,"Avenida Pablo Casals 580, Int: NA, Colonia Pradosde Providencia, C.P. 44670 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. 3333307738,coordinacion.casals@colegioedison.edu.mx,www.colegioedison.edu.mx,20.68565982,-103.389501,Sociedad civil,Sociedad civil,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.68565982,-103.389501&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ESCUELA MOCTEZUMA XOCOYOTZIN,"Calle Vicente Guerrero 420, Int: NA, Colonia La Villa, C.P. 45470 Acatic, Jalisco",Jalisco,Acatic,Tel. NA,,,20.78802888,-102.9078584,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.78802888,-102.9078584&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
JARDIN DE NIÑOS SALVADOR M LIMA TURNO MATUTINO,"Calle Hacienda Las Flores 2850, Int: NA, Colonia San Jose Rio Verde, C.P. 44726 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. NA,,,20.69192913,-103.2803977,Pública,SEP,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.69192913,-103.2803977&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ESCUELA PRIMARIA BENITO JUÁREZ CLAVE 14EPR0617T,"Calle Libertad 6, Int: NA, Colonia Centro, C.P. 46850 Mixtlán, Jalisco",Jalisco,Mixtlán,Tel. NA,bjmixtlan69@hotmail.com,,20.43821031,-104.4099281,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.43821031,-104.4099281&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
JARDIN DE NIÑOS ISIDRO CASTILLO PEREZ 14DJN1704F,"Calle Paseo De Los Sabinos NA, Int: NA, Colonia Tabachines, C.P. 45188 Zapopan, Jalisco",Jalisco,Zapopan,Tel. NA,,,20.73715718,-103.3695054,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.73715718,-103.3695054&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CUAUHTEMOC,"Calle San Francisco NA, Int: NA, Fraccionamiento Linda Vista, C.P. 47120 Jalostotitlán, Jalisco",Jalisco,Jalostotitlán,Tel. NA,,,21.16788809,-102.4739374,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=21.16788809,-102.4739374&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
JUAN DE LA BARRERA,"Calle Juan De La Barrera 1098, Int: NA, Colonia Las Juntas, C.P. 45590 San Pedro Tlaquepaque, Jalisco",Jalisco,San Pedro Tlaquepaque,Tel. NA,,,20.60753155,-103.3386807,Pública,SEP,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.60753155,-103.3386807&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ESCUELA JARDIN DE NIÑOS JOSE VASCONSELOS,"Calle Paseo De Los Nisperos 1760, Int: NA, Colonia Tabachines, C.P. 45188 Zapopan, Jalisco",Jalisco,Zapopan,Tel. NA,14djn1381o@escuelas.se.org,,20.7409137,-103.3628601,Pública,SEP,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.7409137,-103.3628601&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ESCUELA PRIMARIA FEDERAL CONCEPCION BECERRA DE CELIS,"Calle Victor Hugo 137, Int: NA, Colonia Victor Hugo, C.P. 45190 Zapopan, Jalisco",Jalisco,Zapopan,Tel. 3331125999,esc.conchita@hotmail.com,,20.72452058,-103.3408444,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.72452058,-103.3408444&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
JARDIN DE NIÑOS QUETZALCOATL,"Calle Diputados 40, Int: NA, Colonia El Cerrito, C.P. 47120 Jalostotitlán, Jalisco",Jalisco,Jalostotitlán,Tel. NA,,,21.15589862,-102.4664774,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=21.15589862,-102.4664774&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ESCUELA PRIMARIA MARIA MAGDALENA VIDAURRI,"Andador Ninguno 9080, Int: NA, Colonia Loma Dorada, C.P. 45418 Tonalá, Jalisco",Jalisco,Tonalá,Tel. 3336813781,14dpr3792u@escuelas.sej.gob.mx,,20.63019954,-103.2542471,Pública,SEP,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.63019954,-103.2542471&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
PRIMARIA NUEVA ESPAÑA,"Calle Mora 91, Int: NA, Colonia Las Huertas, C.P. 45589 San Pedro Tlaquepaque, Jalisco",Jalisco,San Pedro Tlaquepaque,Tel. NA,,,20.61914765,-103.3070202,Sociedad civil,Sociedad civil,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.61914765,-103.3070202&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CENTRO EDUCATIVO ABC DE GUADALAJARA,"Calle Isla Sumatra 29980, Int: NA, Colonia Fracc Bosques De La Victoria, C.P. 44540 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. 3336230279,centroeduabc@hotmail.com,,20.64158709,-103.3899803,Privada,Privada,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.64158709,-103.3899803&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
JARDIN DE NIÑOS NEZAHUALCOYOTL,"Avenida Avenida De Los Maestros 221, Int: NA, Colonia Nuevo Fuerte, C.P. 47899 Ocotlán, Jalisco",Jalisco,Ocotlán,Tel. 3929228649,,,20.33638771,-102.7671627,Privada,Privada,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.33638771,-102.7671627&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CENTRO ESCOLAR ANNA FREUD,"Calle Luis Perez Verdia 76, Int: NA, Colonia La Aurora, C.P. 45155 Zapopan, Jalisco",Jalisco,Zapopan,Tel. NA,administracion@annafreud.edo.mx,annafreud.edo.mx,20.72369975,-103.3740557,Sociedad civil,Sociedad civil,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.72369975,-103.3740557&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ESCUELA PRIMARIA EMILIANO ZAPATA,"Calle Emiliano Zapata 115, Int: NA, Colonia Leandro Valle, C.P. 48290 Puerto Vallarta, Jalisco",Jalisco,Puerto Vallarta,Tel. NA,,,20.65037458,-105.2194362,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.65037458,-105.2194362&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
JARDIN DE NIÑOS  CHEEL,"Avenida Manuel Acuña 3053, Int: NA, Colonia Residencial Juan Manuel, C.P. 44670 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. 3336410299,kindercheel@hotmail.com,www.kindercheel.com.mx,20.68435705,-103.392468,Privada,Privada,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.68435705,-103.392468&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ROQUE GONZALEZ GARZA,"Privada Vista Alegre NA, Int: NA, Colonia La Aurora, C.P. 45155 Zapopan, Jalisco",Jalisco,Zapopan,Tel. 3333647417,,,20.72349757,-103.3724764,Pública,SEP,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.72349757,-103.3724764&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
JARDIN DE NIÑOS RICARDO FLORES MAGON14DJN0720Q,"Calle Narciso Aceves 16, Int: NA, Colonia Lomas De Huizquilco, C.P. 45430 Zapotlanejo, Jalisco",Jalisco,Zapotlanejo,Tel. NA,,,20.61597158,-103.0689103,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.61597158,-103.0689103&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
JARDIN DE NIÑOS PREESCOLAR 174,"Calle Paseo Pedro Cipres 4477, Int: NA, Colonia Miravalle, C.P. 44970 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. NA,,,20.60977797,-103.3456394,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.60977797,-103.3456394&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
PRESCOLAR CAIC VILLA VICENTE GUERRERO,"Calle Jesus Reyes Heroles 0, Int: NA, Colonia Villaguerrero, C.P. 44987 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. NA,caic.vicenteguerrero@difgdl.gob.mx,,20.6280817,-103.3899053,Pública,DIF,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.6280817,-103.3899053&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ESCUELA PRIMARIA JOSE PARRES ARIAS TURNO VESPERTINO,"Calle Gaza 1036, Int: NA, Colonia Tetlan, C.P. 44760 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. 3313788399,,,20.6772334,-103.2862071,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.6772334,-103.2862071&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ESCUELA PRIMARIA RITA PEREZ DE MORENO,"Calle Santiago NA, Int: NA, Colonia Santa Rosa Del Valle, C.P. 45690 El Salto, Jalisco",Jalisco,El Salto,Tel. NA,,,20.55803706,-103.3214099,Pública,SEP,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.55803706,-103.3214099&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CENTRO EDUCATIVO HERMANAS ACEVES,"Calle Guadalupe Victoria 315, Int: NA, Colonia Ferrocarril, C.P. 47830 Ocotlán, Jalisco",Jalisco,Ocotlán,Tel. 3929223771,,,20.3569041,-102.7699804,Sociedad civil,Sociedad civil,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.3569041,-102.7699804&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ESCUELA PRIMARIA LAZARO CARDENAS DEL RIO,"Calle 16 De Septiembre 240, Int: NA, Localidad Santa Rita, C.P. 47940 Ayotlán, Jalisco",Jalisco,Ayotlán,Tel. NA,,,20.44394519,-102.3875015,Pública,SEP,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.44394519,-102.3875015&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
URBANA 179 MARIANO AZUELA,"Calle Javier Mina 3565, Int: NA, Colonia La Aurora, C.P. 44790 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. 3336055079,,,20.66189141,-103.2840528,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.66189141,-103.2840528&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
CENTRO EDUCATIVO JUAN SEBASTIAN BACH,"Calle Millet 545, Int: NA, Colonia La Estancia, C.P. 45030 Zapopan, Jalisco",Jalisco,Zapopan,Tel. 3331251925,,centroeducativojuansebastianbach.edu.mx,20.6669853,-103.4292025,Sociedad civil,Sociedad civil,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.6669853,-103.4292025&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
ESCUELA PRIMARIA FRANCISCO JAVIER MINA TM,"Avenida Javier Mina 4078, Int: NA, Colonia Tetlan, C.P. 44790 Guadalajara, Jalisco",Jalisco,Guadalajara,Tel. 3312005151,,,20.66120862,-103.2797631,Pública,Pública,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.66120862,-103.2797631&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
JARDIN DE NIÑOS LOMA BONITA,"Calle Perla 3890, Int: NA, Colonia Loma Bonita Sur, C.P. 44590 Zapopan, Jalisco",Jalisco,Zapopan,Tel. NA,,www.jnlomabonita.com.mx,20.63449416,-103.4023357,Sociedad civil,Sociedad civil,Infancia,,,,1,Cuidado indirecto,Acceso sin derechohabiencia,"<a href=""https://maps.google.com/?ll=20.63449416,-103.4023357&z=14"" target=""_blank"" rel=""noopener"">Indicaciones</a>"
